strategy,mean,min,median,max,neg
overlay0.80+target30.03+scoreprop300.17,0.022802499721428292,0.0043826161446902795,0.020159713916100053,0.04305481182984916,0
overlay_0.92+baseline_xgb_0.08,0.022800315354025092,0.004495614629203282,0.023660899242133035,0.04340204775198914,0
overlay0.75+adaptive0.03+scoreprop300.22,0.02279830116636597,0.003859353053129129,0.020242808591278486,0.04333422457428565,0
overlay0.80+lightgbm0.03+scoreprop300.17,0.022793050401652054,0.0042523844327412574,0.02064732353597172,0.04333238759452851,0
overlay0.90+lightgbm0.08+baseline_xgb0.02,0.0227897476848735,0.005064141098826559,0.0229197120161075,0.04362117042942586,0
overlay0.90+baseline_xgb0.05+target30.05,0.022786109731311233,0.0052107478918888145,0.02206844173934555,0.043433633046974895,0
overlay0.80+scoreprop300.10+scoreprop400.10,0.022785515730651663,0.004063212970387295,0.021174829302554724,0.04335089612048024,0
overlay0.80+scoreprop300.15+scoreprop500.05,0.022781595410925427,0.0040928300666179945,0.021122755837617052,0.043200754814026326,0
overlay0.85+target30.03+scoreprop500.12,0.0227779764335234,0.005010026597350517,0.021970538652276744,0.04384637916060985,0
overlay0.75+adaptive0.15+lightgbm0.10,0.02277619068310993,0.005048692837856535,0.02196993141844536,0.04384044743914833,0
overlay0.90+tuned_xgb0.08+scoreprop300.02,0.022770692344152705,0.004700192352219565,0.022127174096525315,0.044435143234950764,0
overlay0.80+adaptive0.05+scoreprop500.15,0.0227666820735454,0.0045653755410644675,0.02249004129971352,0.04394391299548149,0
overlay0.80+scoreprop300.08+scoreprop400.12,0.022758597047948192,0.004095627875916191,0.02125075326452179,0.04334396978729382,0
