strategy,top_k,mean,sum,median,min,max,negative_windows
amount_z_20d_low,70,-0.004549545955607351,-0.04094591360046616,-0.002381415012818161,-0.03150447652130059,0.014253361721354645,5
turnover_z_20d_low,100,-0.004563197025203734,-0.0410687732268336,-0.003446861971646495,-0.026125567411691038,0.015142155047111458,5
amount_z_20d_low,100,-0.004582433815429582,-0.041241904338866237,-0.0022261956456071375,-0.030462384442951032,0.011974434464829271,5
amplitude_ma_20d_low,50,-0.004584286946854692,-0.041258582521692226,-0.002036476539975768,-0.05688973801096928,0.02723766705711806,5
close_pos_20d_high,50,-0.0046242367585629185,-0.041618130827066266,-0.000534910883013091,-0.06240692663069525,0.040484247806952714,5
vol_5d_low,50,-0.004643916901682048,-0.04179525211513843,0.004400252936460104,-0.05143427276932372,0.030083818179737494,4
vol_5d_low,40,-0.004680745593400348,-0.042126710340603134,0.005372251036987789,-0.050994489895114535,0.03131850750104379,4
turnover_z_20d_low,70,-0.00469114574129011,-0.042220311671610986,-0.0035962649423162824,-0.026404910147839654,0.017517652320333667,5
volume_z_20d_high,40,-0.004724500649823003,-0.042520505848407025,-0.0008121793430233056,-0.04804787009955397,0.027116382918383815,5
amplitude_ma_20d_low,40,-0.004732829742342872,-0.042595467681085845,-0.0025378923546071665,-0.057678549093476854,0.026906770591119795,5
volume_z_20d_low,150,-0.004740874349768766,-0.042667869147918897,-0.005411619494619338,-0.025697615038794183,0.011162217671637234,5
ret_5d_high,100,-0.0047542857513704255,-0.04278857176233383,-0.004128339125887816,-0.04229404274617403,0.0269242436580885,6
turnover_z_20d_high,40,-0.004778262796098794,-0.04300436516488915,-0.0005998420544455294,-0.048963441903175337,0.027116382918383815,5
close_pos_20d_high,40,-0.004783258909457696,-0.043049330185119264,0.0011762130426372936,-0.06439064866719778,0.04217652725758876,4
amount_z_20d_low,50,-0.004858765473214348,-0.043728889258929135,-0.0023450076131533576,-0.031085750334044777,0.017604427002278416,5
volume_z_20d_low,100,-0.004865503745268481,-0.043789533707416325,-0.0033345316927013424,-0.026335015456121477,0.01435430967500138,5
