apply,power,max_weight,equal_mix,mean,min,max,neg,vals
tree_regularized,0.6,0.08,0.3,0.030988182326402484,0.019928936405607667,0.04514788015494137,0,"0.02657,0.02423,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_regularized,0.6,0.1,0.3,0.030988182326402484,0.019928936405607667,0.04514788015494137,0,"0.02657,0.02423,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_regularized,2.5,0.04,0.1,0.030977504569957737,0.018307837282639267,0.047887255252440225,0,"0.02657,0.02475,0.02644,0.04515,0.03059,0.01831,0.02197,0.03713,0.04789"
tree_regularized,0.6,0.04,0.3,0.03097518243449308,0.019531771437898617,0.045156817788394005,0,"0.02657,0.02423,0.02551,0.04515,0.03195,0.02124,0.01953,0.03942,0.04516"
tree_only,0.6,0.045,0.2,0.03097395221779266,0.019011027222876398,0.04514788015494137,0,"0.02831,0.02329,0.02598,0.04515,0.03269,0.01901,0.02066,0.04013,0.04355"
tree_regularized,3.0,0.04,0.3,0.030972285297183457,0.01937744634754248,0.04514788015494137,0,"0.02799,0.02436,0.02487,0.04515,0.03170,0.02136,0.01938,0.03938,0.04456"
tree_regularized,0.4,0.045,0.0,0.030969347418599007,0.019678590346325173,0.04514788015494137,0,"0.02607,0.02434,0.02612,0.04515,0.03290,0.01968,0.02036,0.04009,0.04403"
tree_regularized,0.4,0.05,0.0,0.030968371989705645,0.01956584375562681,0.04514788015494137,0,"0.02607,0.02434,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_regularized,0.4,0.06,0.0,0.030968371989705645,0.01956584375562681,0.04514788015494137,0,"0.02607,0.02434,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_regularized,0.4,0.08,0.0,0.030968371989705645,0.01956584375562681,0.04514788015494137,0,"0.02607,0.02434,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_regularized,0.4,0.1,0.0,0.030968371989705645,0.01956584375562681,0.04514788015494137,0,"0.02607,0.02434,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_only,0.8,0.04,0.3,0.0309677236206199,0.01986286269530506,0.04579669194579164,0,"0.02831,0.02329,0.02520,0.04515,0.03178,0.02040,0.01986,0.03892,0.04580"
tree_regularized,0.4,0.04,0.0,0.03096755522828096,0.01979413707284383,0.045708778568612204,0,"0.02607,0.02434,0.02560,0.04515,0.03211,0.02075,0.01979,0.03920,0.04571"
tree_only,1.0,0.04,0.3,0.030963919119542313,0.020131261632285506,0.04595358812184425,0,"0.02831,0.02329,0.02507,0.04515,0.03160,0.02022,0.02013,0.03894,0.04595"
