mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.2,2.0,0.05,0.04,0.2,0.07045089011905392,0.041279438261512036,0.029171451857541886,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,1.2,0.0,0.04,0.2,0.07041726352891665,0.041279438261512036,0.02913782526740462,30,0.04,0.39999999999999997
rank,30,0.05,3.0,0.1,0.04,0.2,0.07040195029027976,0.041279438261512036,0.029122512028767727,30,0.039999999999999994,0.3999999999999999
rank,30,0.35,1.0,0.0,0.04,0.2,0.07040084713973845,0.041279438261512036,0.02912140887822641,30,0.04,0.39999999999999997
rank,30,0.2,1.2,0.1,0.04,0.2,0.07039964181007671,0.041279438261512036,0.029120203548564677,30,0.040000000000000015,0.4000000000000002
rank,30,0.0,1.2,0.2,0.04,0.2,0.07038801549297584,0.041279438261512036,0.029108577231463803,30,0.03999999999999998,0.3999999999999998
rank,30,0.2,1.0,0.1,0.04,0.2,0.07038606954454064,0.041279438261512036,0.02910663128302861,30,0.040000000000000015,0.4000000000000002
rank,30,0.1,2.4,0.1,0.04,0.2,0.07038222151758093,0.041279438261512036,0.029102783256068895,30,0.04000000000000001,0.40000000000000013
rank,30,0.0,1.0,0.2,0.04,0.2,0.0703700503535698,0.041279438261512036,0.029090612092057766,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,1.6,0.0,0.04,0.2,0.07036923735747257,0.041279438261512036,0.02908979909596053,30,0.04000000000000001,0.40000000000000013
rank,30,0.2,1.6,0.1,0.04,0.2,0.0703571928474004,0.041279438261512036,0.029077754585888363,30,0.039999999999999994,0.3999999999999999
rank,30,0.2,2.4,0.05,0.04,0.2,0.07035375237185182,0.041279438261512036,0.029074314110339783,30,0.04000000000000001,0.40000000000000013
rank,30,0.0,1.6,0.2,0.04,0.2,0.07035128639817162,0.041279438261512036,0.029071848136659584,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,0.8,0.0,0.04,0.2,0.07034011279226099,0.041279438261512036,0.029060674530748953,30,0.04,0.39999999999999997
rank,30,0.8,0.8,0.05,0.04,0.2,0.07033424374857415,0.041279438261512036,0.029054805487062116,30,0.04000000000000001,0.40000000000000013
rank,30,0.05,1.2,0.2,0.04,0.2,0.07032445134181997,0.041279438261512036,0.029045013080307935,30,0.04000000000000001,0.40000000000000013
rank,30,0.2,0.8,0.1,0.04,0.2,0.07031351765294243,0.041279438261512036,0.029034079391430392,30,0.04,0.39999999999999997
