top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,median,min,max,sum,negative_windows,avg_n,utility
30,0.4,0.9,0.1,0.04,0.014870376324574278,0.009287163693739105,0.002102039341514733,0.044254195690818884,0.1338333869211685,0,82.0,0.015921395995331645
35,0.4,0.9,0.1,0.04,0.013824987256424247,0.009287163693739105,0.004181848570181959,0.03692142572128711,0.12442488530781821,0,86.44444444444444,0.015915911541515226
35,0.0,1.6,0.0,0.04,0.014319615574256575,0.009287163693739105,0.0031902023098208665,0.03798891476774398,0.12887654016830918,0,86.44444444444444,0.015914716729167007
35,0.1,1.1,0.0,0.05,0.014345027738812946,0.009287163693739105,0.003131998194570884,0.03346218852236664,0.12910524964931652,0,86.44444444444444,0.015911026836098387
30,0.4,1.2,0.2,0.04,0.01486278791918839,0.009287163693739105,0.0020820640237948634,0.04406356464229905,0.1337650912726955,0,82.0,0.01590381993108582
30,0.4,1.1,0.1,0.04,0.014872080716729777,0.009287163693739105,0.0020609073786670984,0.044341843032637995,0.133848726450568,0,82.0,0.015902534406063325
35,0.25,1.1,0.2,0.045,0.013908770744727128,0.009287163693739105,0.003984878709428333,0.033799726984589676,0.12517893670254415,0,86.44444444444444,0.015901210099441294
30,0.4,1.1,0.2,0.04,0.01485528681324112,0.009287163693739105,0.0020886162496209226,0.044016448189561574,0.1336975813191701,0,82.0,0.015899594938051584
35,0.25,0.9,0.2,0.045,0.013917895601375815,0.009287163693739105,0.003961981693179711,0.033432795990243055,0.12526106041238233,0,86.44444444444444,0.015898886447965672
35,0.1,1.2,0.1,0.05,0.014232511131126922,0.009287163693739105,0.003322273058943989,0.032730195349796015,0.1280926001801423,0,86.44444444444444,0.015893647660598916
40,0.1,1.6,0.05,0.04,0.013842406131014168,0.009287163693739105,0.0040928402259849395,0.03696532161896299,0.12458165517912752,0,90.88888888888889,0.015888826244006636
30,0.4,1.4,0.2,0.04,0.014856936407027546,0.009287163693739105,0.002060399285880171,0.04402932034112106,0.13371242766324792,0,82.0,0.01588713604996763
30,0.4,0.9,0.0,0.04,0.014845127407067794,0.009287163693739105,0.002079007924680007,0.04454072541716156,0.13360614666361015,0,82.0,0.0158846313694078
35,0.4,0.9,0.05,0.04,0.01387080008360902,0.009287163693739105,0.004021338935959962,0.03745828630068758,0.12483720075248118,0,86.44444444444444,0.015881469551589
35,0.1,1.4,0.05,0.045,0.014448863723986963,0.009287163693739105,0.002835321052532619,0.03574972908856984,0.13003977351588267,0,86.44444444444444,0.015866524250253273
30,0.4,1.2,0.1,0.04,0.014847678194391364,0.009287163693739105,0.0020295801795369994,0.04435151903294668,0.13362910374952228,0,82.0,0.015862468284159863
35,0.25,0.9,0.0,0.05,0.014012055450798564,0.009287163693739105,0.0036985016029759815,0.03325251752189712,0.12610849905718707,0,86.44444444444444,0.015861306252286555
35,0.4,0.9,0.0,0.04,0.013912843456725147,0.009287163693739105,0.003894632680148516,0.0380142738412723,0.12521559111052633,0,86.44444444444444,0.015860159796799403
35,0.0,0.9,0.1,0.045,0.013828775552714206,0.009287163693739105,0.004056373547840941,0.035608083504581486,0.12445897997442786,0,86.44444444444444,0.015856962326634676
30,0.4,1.6,0.2,0.04,0.014837930151256278,0.009287163693739105,0.0020340372869911,0.04394957502298577,0.1335413713613065,0,82.0,0.015854948794751828
35,0.4,1.1,0.05,0.04,0.013904853467382948,0.009287163693739105,0.003893790844004208,0.03813942749514139,0.12514368120644653,0,86.44444444444444,0.01585174888938505
35,0.1,1.6,0.2,0.045,0.014223737692510044,0.009287163693739105,0.003252815667654091,0.034269419181666205,0.1280136392325904,0,86.44444444444444,0.015850145526337088
35,0.4,1.1,0.0,0.04,0.01394969222302431,0.009287163693739105,0.0037821627466364527,0.03876438481440124,0.1255472300072188,0,86.44444444444444,0.015840773596342537
30,0.4,1.1,0.05,0.04,0.014827457881712695,0.009287163693739105,0.0020262480880554046,0.04448020951114433,0.13344712093541425,0,82.0,0.015840581925740397
40,0.0,1.4,0.1,0.04,0.013795410681876471,0.009287163693739105,0.00408605433294499,0.03615734854893746,0.12415869613688824,0,90.88888888888889,0.015838437848348964
