set,mode,top_k,power,max_weight,equal_mix,mean,min,max,neg,vals
hybrid_plus_signal,rank,80,2.0,0.1,0.0,0.02423774647122018,0.002219484759095558,0.04367155850150786,0,"0.01594,0.02510,0.03853,0.00326,0.03175,0.00222,0.02355,0.04367,0.03412"
core_diverse,presence,30,1.3,0.08,0.0,0.024236836734752888,0.0030887601879764914,0.04784851243969884,0,"0.02232,0.01971,0.02137,0.00309,0.03065,0.02110,0.01434,0.03771,0.04785"
core_diverse,presence,30,1.3,0.1,0.0,0.024236836734752888,0.0030887601879764914,0.04784851243969884,0,"0.02232,0.01971,0.02137,0.00309,0.03065,0.02110,0.01434,0.03771,0.04785"
core_diverse,presence,30,1.6,0.05,0.0,0.024233588137726955,0.0032248118062065123,0.04642568623635049,0,"0.02169,0.01954,0.02187,0.00322,0.03222,0.02095,0.01473,0.03746,0.04643"
core_diverse,presence,30,1.0,0.06,0.0,0.024232056363146823,0.0032865406677592204,0.049343500344906005,0,"0.02167,0.01987,0.02094,0.00329,0.02902,0.02184,0.01446,0.03766,0.04934"
core_diverse,presence,30,1.0,0.08,0.0,0.024232056363146823,0.0032865406677592204,0.049343500344906005,0,"0.02167,0.01987,0.02094,0.00329,0.02902,0.02184,0.01446,0.03766,0.04934"
core_diverse,presence,30,1.0,0.1,0.0,0.024232056363146823,0.0032865406677592204,0.049343500344906005,0,"0.02167,0.01987,0.02094,0.00329,0.02902,0.02184,0.01446,0.03766,0.04934"
core_diverse,presence,30,0.8,0.04,0.1,0.024231959185213883,0.003618331805547742,0.05087737553974074,0,"0.02062,0.02001,0.02057,0.00362,0.02742,0.02276,0.01473,0.03747,0.05088"
hybrid_plus_signal,rank,60,2.0,0.1,0.0,0.024230190454285008,0.002130267711524747,0.04367155850150787,0,"0.01623,0.02473,0.03853,0.00328,0.03180,0.00213,0.02357,0.04367,0.03412"
core_diverse,presence,30,1.6,0.08,0.0,0.024221584620816583,0.0028691436055744424,0.04642568623635049,0,"0.02298,0.01954,0.02174,0.00287,0.03222,0.02030,0.01413,0.03779,0.04643"
core_diverse,presence,30,1.6,0.1,0.0,0.024221584620816583,0.0028691436055744424,0.04642568623635049,0,"0.02298,0.01954,0.02174,0.00287,0.03222,0.02030,0.01413,0.03779,0.04643"
core_diverse,presence,30,1.3,0.06,0.1,0.02422088649121027,0.0031597426332360193,0.04855142771067547,0,"0.02205,0.01977,0.02115,0.00316,0.02990,0.02138,0.01432,0.03770,0.04855"
core_diverse,presence,30,1.3,0.08,0.1,0.024219747239705006,0.0031597426332360193,0.04855142771067547,0,"0.02204,0.01977,0.02115,0.00316,0.02990,0.02138,0.01432,0.03770,0.04855"
core_diverse,presence,30,1.3,0.1,0.1,0.024219747239705006,0.0031597426332360193,0.04855142771067547,0,"0.02204,0.01977,0.02115,0.00316,0.02990,0.02138,0.01432,0.03770,0.04855"
core_diverse,presence,30,0.8,0.06,0.0,0.02421742424641506,0.0034065738142550622,0.05038155932688171,0,"0.02123,0.01997,0.02063,0.00341,0.02790,0.02230,0.01449,0.03764,0.05038"
core_diverse,presence,30,0.8,0.08,0.0,0.02421742424641506,0.0034065738142550622,0.05038155932688171,0,"0.02123,0.01997,0.02063,0.00341,0.02790,0.02230,0.01449,0.03764,0.05038"
core_diverse,presence,30,0.8,0.1,0.0,0.02421742424641506,0.0034065738142550622,0.05038155932688171,0,"0.02123,0.01997,0.02063,0.00341,0.02790,0.02230,0.01449,0.03764,0.05038"
hybrid_plus_signal,rank,30,2.0,0.08,0.0,0.02421698962148709,0.0014550069212755715,0.04415852396635491,0,"0.01509,0.02537,0.03783,0.00146,0.03330,0.00237,0.02390,0.04416,0.03448"
core_diverse,presence,30,1.0,0.06,0.1,0.024215444905259544,0.003337745065040469,0.04989691682536193,0,"0.02145,0.01992,0.02076,0.00334,0.02843,0.02204,0.01443,0.03766,0.04990"
core_diverse,presence,30,1.0,0.08,0.1,0.024215444905259544,0.003337745065040469,0.04989691682536193,0,"0.02145,0.01992,0.02076,0.00334,0.02843,0.02204,0.01443,0.03766,0.04990"
