top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,min,max,std,neg,utility,avg_max_weight,avg_n
30,0.25,0.0,0.1,0.06,0.018499598220797137,0.003890802066160659,0.03728205981677192,0.012878215190769472,0,0.01800360586941723,0.04021248885141905,30.0
30,0.25,0.0,0.1,0.08,0.018499598220797137,0.003890802066160659,0.03728205981677192,0.012878215190769472,0,0.01800360586941723,0.04021248885141905,30.0
30,0.25,0.0,0.1,0.1,0.018499598220797137,0.003890802066160659,0.03728205981677192,0.012878215190769472,0,0.01800360586941723,0.04021248885141905,30.0
30,0.0,0.0,0.1,0.06,0.018246036905237788,0.004011601284270642,0.03483282460189352,0.012205292216131744,0,0.0180028347501943,0.03816725423321392,30.0
30,0.0,0.0,0.1,0.08,0.018246036905237788,0.004011601284270642,0.03483282460189352,0.012205292216131744,0,0.0180028347501943,0.03816725423321392,30.0
30,0.0,0.0,0.1,0.1,0.018246036905237788,0.004011601284270642,0.03483282460189352,0.012205292216131744,0,0.0180028347501943,0.03816725423321392,30.0
30,0.25,0.0,0.15,0.06,0.018549944701918473,0.0038548693268115296,0.037665544008968876,0.012983205133946804,0,0.01800255194719984,0.039830313544858734,30.0
30,0.25,0.0,0.15,0.08,0.018549944701918473,0.0038548693268115296,0.037665544008968876,0.012983205133946804,0,0.01800255194719984,0.039830313544858734,30.0
30,0.25,0.0,0.15,0.1,0.018549944701918473,0.0038548693268115296,0.037665544008968876,0.012983205133946804,0,0.01800255194719984,0.039830313544858734,30.0
30,0.25,0.0,0.25,0.06,0.018650637664161168,0.0037830038481132533,0.03843251239336279,0.013197905359563496,0,0.01799926401794957,0.0390659629317381,30.0
30,0.25,0.0,0.25,0.08,0.018650637664161168,0.0037830038481132533,0.03843251239336279,0.013197905359563496,0,0.01799926401794957,0.0390659629317381,30.0
30,0.25,0.0,0.25,0.1,0.018650637664161168,0.0037830038481132533,0.03843251239336279,0.013197905359563496,0,0.01799926401794957,0.0390659629317381,30.0
35,0.25,1.2,0.1,0.04,0.018384750386760396,0.0039176882641389355,0.0373674948293113,0.012521089808100894,0,0.017996859719632427,0.04,35.0
30,0.25,0.0,0.4,0.06,0.01880167710752521,0.003675205630065865,0.03958296496995371,0.013531190706937767,0,0.017991523371836873,0.03791943701205715,30.0
30,0.25,0.0,0.4,0.08,0.01880167710752521,0.003675205630065865,0.03958296496995371,0.013531190706937767,0,0.017991523371836873,0.03791943701205715,30.0
30,0.25,0.0,0.4,0.1,0.01880167710752521,0.003675205630065865,0.03958296496995371,0.013531190706937767,0,0.017991523371836873,0.03791943701205715,30.0
30,0.0,0.0,0.15,0.06,0.0182906593823113,0.003968957477248739,0.03525332369813361,0.012310857412322518,0,0.01799121526330479,0.03789870307210943,30.0
30,0.0,0.0,0.15,0.08,0.0182906593823113,0.003968957477248739,0.03525332369813361,0.012310857412322518,0,0.01799121526330479,0.03789870307210943,30.0
30,0.0,0.0,0.15,0.1,0.0182906593823113,0.003968957477248739,0.03525332369813361,0.012310857412322518,0,0.01799121526330479,0.03789870307210943,30.0
30,0.35,0.8,0.25,0.04,0.01981776254773901,0.0026046896385871487,0.04317244632679179,0.014600147425146268,0,0.017991008438463445,0.04000000000000001,30.0
30,0.65,0.0,0.4,0.04,0.019077986588063513,0.0035308515888976544,0.041751117586356135,0.01423583952127811,0,0.017990622819972345,0.037076421376702515,30.0
30,0.35,0.5,0.15,0.04,0.019686393833494485,0.0027527115418795045,0.04277904680267518,0.01450058231388283,0,0.01798814633433943,0.04,30.0
