strategy,mean,median,min,max,neg
reweight_ret_5d_low_g0.15_p1.0,0.023135228271141856,0.02009947300264353,0.003920855954235761,0.04463894797104219,0
reweight_amplitude_ma_20d_low_g0.3_p1.5,0.023130943075566235,0.019618890453744868,0.003671887161375134,0.044409491698597536,0
reweight_ret_5d_low_g0.15_p1.5,0.02312842659986059,0.02016387053043206,0.003933030498704984,0.04455380294630301,0
reweight_ret_5d_low_g0.15_p2.0,0.02312757791228691,0.020157717741883574,0.003947007832030371,0.04451232625050616,0
reweight_ret_60d_low_g0.2_p1.5,0.023126687559071296,0.019711942788850544,0.0037220328648168016,0.044540444332642315,0
reweight_close_over_ma20_low_g0.2_p0.8,0.023126440820797775,0.01960250731447838,0.004108254262452524,0.04444688031185605,0
reweight_vol_20d_low_g0.2_p1.5,0.023126097734528644,0.01966626116435677,0.003915393072256176,0.044476529622508726,0
reweight_close_over_ma60_low_g0.1_p1.0,0.023125437710964522,0.019618250037982655,0.00415351344924423,0.04446177691856101,0
reweight_vol_20d_low_g0.2_p1.0,0.023124793029261927,0.0196510120457316,0.0039509002207910315,0.044496477535449636,0
reweight_close_over_ma60_low_g0.1_p1.5,0.023123819354768912,0.019608352928486235,0.004165933015226324,0.04446527387023058,0
reweight_close_over_ma20_low_g0.15_p2.0,0.023123626275765877,0.01983486175160023,0.004221233966113229,0.04445540315281768,0
reweight_amplitude_ma_20d_low_g0.3_p2.0,0.023123303893868123,0.019643068573045888,0.003692636490094825,0.04444293835347338,0
reweight_close_over_ma20_low_g0.15_p1.5,0.02312295101500279,0.019791392687346573,0.004164545141520856,0.04444815962075141,0
reweight_ret_60d_low_g0.2_p2.0,0.023122426919839987,0.01970120068865843,0.0037373028054800417,0.04451246292794976,0
reweight_drawdown_20d_low_g0.1_p1.5,0.02312226059617983,0.01972614141343297,0.0041200660551731355,0.044471941540448534,0
reweight_vol_20d_low_g0.2_p2.0,0.023121469981237045,0.01967159743641099,0.0038865082356812214,0.04446680673381748,0
reweight_ret_60d_low_g0.2_p1.0,0.02311971565086549,0.019685873650391317,0.003717295141860491,0.04453740869420504,0
