feature,direction,top_k,power,mean,min,max,neg,vals
excess_ret_5d,low,40,1.5,0.009562243129614598,-0.03442971662848457,0.03285754487726567,4,"0.01903,0.03286,0.01572,0.01614,-0.01504,-0.01776,0.02201,-0.03443,0.02858,-0.01213,0.03234,0.02742"
excess_ret_5d_rank,low,40,1.5,0.009562243129614598,-0.03442971662848457,0.03285754487726567,4,"0.01903,0.03286,0.01572,0.01614,-0.01504,-0.01776,0.02201,-0.03443,0.02858,-0.01213,0.03234,0.02742"
close_over_ma20,low,50,1.5,0.009534572983932378,-0.019148277904314434,0.02930252219159314,4,"0.02621,0.01538,0.02712,0.01275,0.01574,-0.01915,0.02930,-0.00402,0.01293,0.00456,-0.00468,-0.00174"
close_over_ma20,low,30,1.5,0.00950775564016181,-0.019610953087335042,0.0410128587398714,4,"0.02891,0.01499,0.04101,0.00981,0.01223,-0.01961,0.03261,-0.00917,0.01033,0.00466,-0.00837,-0.00330"
ret_5d,low,30,1.0,0.009482323364402323,-0.03605684058772468,0.0342753123850444,4,"0.01960,0.03410,0.01577,0.01552,-0.01675,-0.01844,0.02151,-0.03606,0.02777,-0.01120,0.03428,0.02770"
ret_5d_rank,low,30,1.0,0.009482323364402323,-0.03605684058772468,0.0342753123850444,4,"0.01960,0.03410,0.01577,0.01552,-0.01675,-0.01844,0.02151,-0.03606,0.02777,-0.01120,0.03428,0.02770"
excess_ret_5d,low,30,1.0,0.009482323364402323,-0.03605684058772468,0.0342753123850444,4,"0.01960,0.03410,0.01577,0.01552,-0.01675,-0.01844,0.02151,-0.03606,0.02777,-0.01120,0.03428,0.02770"
excess_ret_5d_rank,low,30,1.0,0.009482323364402323,-0.03605684058772468,0.0342753123850444,4,"0.01960,0.03410,0.01577,0.01552,-0.01675,-0.01844,0.02151,-0.03606,0.02777,-0.01120,0.03428,0.02770"
close_over_ma20,low,30,2.0,0.009440074518646589,-0.019835577033409213,0.04632531266914697,4,"0.02983,0.01597,0.04633,0.00848,0.01073,-0.01984,0.03367,-0.01221,0.00939,0.00399,-0.00981,-0.00325"
ret_15d,low,40,1.5,0.00940343545195921,-0.028551506250608934,0.03664150126442928,3,"0.01996,0.01053,0.01115,0.02501,0.01425,0.00135,0.02836,-0.00315,0.03664,0.00407,-0.00680,-0.02855"
ret_15d_rank,low,40,1.5,0.00940343545195921,-0.028551506250608934,0.03664150126442928,3,"0.01996,0.01053,0.01115,0.02501,0.01425,0.00135,0.02836,-0.00315,0.03664,0.00407,-0.00680,-0.02855"
close_over_ma20,low,60,2.0,0.009362322049473659,-0.018511798227671614,0.028785059467839658,4,"0.02617,0.01539,0.02638,0.01295,0.01557,-0.01851,0.02879,-0.00431,0.01291,0.00391,-0.00493,-0.00196"
ret_5d,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
ret_5d_rank,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
excess_ret_5d,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
excess_ret_5d_rank,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
close_over_ma20,low,50,1.0,0.009285935409572335,-0.018671419040633228,0.02781109610749352,4,"0.02518,0.01540,0.02228,0.01435,0.01637,-0.01867,0.02781,-0.00283,0.01343,0.00374,-0.00375,-0.00187"
drawdown_20d,low,30,1.0,0.009260876620698974,-0.01943770088543255,0.05594649919539971,4,"0.01781,-0.01691,0.05595,0.01781,-0.00240,-0.01944,0.02759,0.00025,0.01644,0.01574,0.00169,-0.00340"
drawdown_20d_rank,low,30,1.0,0.009260876620698974,-0.01943770088543255,0.05594649919539971,4,"0.01781,-0.01691,0.05595,0.01781,-0.00240,-0.01944,0.02759,0.00025,0.01644,0.01574,0.00169,-0.00340"
