blend,mean,min,max,neg,vals
best0.55+sp300.45,0.024431297044783227,0.009287163693739105,0.04109584706177665,0,"0.01905,0.00929,0.02855,0.02408,0.02784,0.01477,0.01814,0.04110,0.03707"
best0.65+lgbreg0.35,0.024423745111625025,0.009287163693739105,0.03869325280102637,0,"0.01707,0.00929,0.02492,0.03351,0.02423,0.02256,0.01444,0.03510,0.03869"
best0.80+reg0.15+sp400.05,0.024312302023597007,0.0113873206009672,0.035766912326495606,0,"0.02401,0.01139,0.02429,0.03551,0.02778,0.01270,0.01306,0.03431,0.03577"
best0.65+reg0.05+sp400.30,0.02417928767060516,0.009987215996148473,0.039005074630538275,0,"0.02003,0.00999,0.02507,0.02933,0.02611,0.01649,0.01510,0.03649,0.03901"
best0.70+reg0.10+sp400.20,0.023909733209412396,0.010687268298557838,0.037087748238296844,0,"0.02166,0.01069,0.02465,0.03131,0.02658,0.01427,0.01386,0.03509,0.03709"
best0.65+t30.35,0.02389389258312283,0.009287163693739105,0.039898194506131524,0,"0.01598,0.00929,0.02170,0.03501,0.02834,0.01211,0.02009,0.03262,0.03990"
best0.50+sp300.50,0.023831904679223907,0.009287163693739105,0.04089215612787736,0,"0.01849,0.00929,0.02884,0.02173,0.02743,0.01376,0.01795,0.04089,0.03611"
best0.55+sp400.45,0.023776718856420548,0.009287163693739105,0.0403259105423395,0,"0.01769,0.00929,0.02542,0.02513,0.02491,0.01805,0.01590,0.03727,0.04033"
best0.60+lgbreg0.40,0.0236520189368833,0.009287163693739105,0.03769309964884418,0,"0.01607,0.00929,0.02477,0.03185,0.02319,0.02237,0.01366,0.03398,0.03769"
best0.75+reg0.15+sp400.10,0.02364017874821962,0.0113873206009672,0.03517042184605537,0,"0.02330,0.01139,0.02422,0.03329,0.02705,0.01205,0.01261,0.03368,0.03517"
best0.60+reg0.05+sp400.35,0.023507164395227764,0.009987215996148473,0.03840858415009803,0,"0.01932,0.00999,0.02500,0.02711,0.02538,0.01584,0.01466,0.03586,0.03841"
best0.80+reg0.20,0.023370624287026843,0.00983680740948914,0.035266601428198596,0,"0.02493,0.01209,0.02380,0.03527,0.02752,0.00984,0.01137,0.03227,0.03325"
best0.65+reg0.10+sp400.25,0.023237609934034998,0.010687268298557838,0.03649125775785658,0,"0.02095,0.01069,0.02458,0.02909,0.02585,0.01362,0.01341,0.03446,0.03649"
best0.45+sp300.55,0.02323251231366459,0.009287163693739105,0.04068846519397807,0,"0.01793,0.00929,0.02912,0.01939,0.02703,0.01274,0.01775,0.04069,0.03516"
