n,topk,power,mix_agg,mean,min,max,neg,keys,vals
2,50,2.5,0.25,0.06829119128952453,0.03410180553373293,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03410,0.06418,0.14214,0.03902,0.04322,0.07353,0.05091,0.06703,0.08060,0.07203,0.07021,0.08254"
2,35,2.5,0.75,0.06814367308011661,0.037234713646814244,0.13898974975367276,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03723,0.06419,0.13899,0.03953,0.04512,0.07632,0.06526,0.06038,0.07280,0.07004,0.06616,0.08171"
3,40,2.5,0.5,0.06814176317886321,0.035395316794920105,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03540,0.06419,0.14061,0.03827,0.04397,0.07493,0.06085,0.06380,0.07669,0.06870,0.06818,0.08212"
6,35,2.5,0.25,0.06808526618701577,0.03475342225100483,0.1391424508189216,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03475,0.05850,0.13914,0.03680,0.04019,0.07353,0.06308,0.06703,0.08060,0.07065,0.07021,0.08254"
3,50,2.5,0.25,0.06799607178786175,0.03288615299692938,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03289,0.06418,0.14214,0.03773,0.04322,0.07353,0.05091,0.06703,0.08060,0.07099,0.07021,0.08254"
2,60,2.5,0.0,0.06795452499992204,0.03348043852432693,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03348,0.06418,0.14351,0.03805,0.04248,0.07212,0.03889,0.07017,0.08454,0.07292,0.07218,0.08295"
3,30,2.5,0.75,0.0679448208499493,0.03703321552589846,0.13898974975367276,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03703,0.06419,0.13899,0.03783,0.04709,0.07632,0.06697,0.06038,0.07280,0.06587,0.06616,0.08171"
4,40,2.5,0.5,0.06785620163171431,0.034878843637080416,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03488,0.06419,0.14061,0.03784,0.04461,0.07493,0.06085,0.06380,0.07669,0.06558,0.06818,0.08212"
2,50,2.5,0.5,0.06783204472670074,0.03472317254313893,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03472,0.06419,0.14061,0.03791,0.04397,0.07493,0.05577,0.06380,0.07669,0.07110,0.06818,0.08212"
5,30,2.0,0.25,0.06780490255420889,0.03524222057705087,0.14061796076173363,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03524,0.06104,0.14062,0.03844,0.04422,0.06756,0.06415,0.06408,0.07495,0.07575,0.06822,0.07938"
