as_of,start,end,top_k,temperature,rank_blend,n_names,excess_return
20260331,20260401,20260408,80,1.1,0.7,80,0.01749967640897917
20260331,20260401,20260408,80,1.1,0.9,80,0.017499676408979162
20260331,20260401,20260408,80,1.1,1.0,80,0.017499676408979176
20260331,20260401,20260408,100,0.35,0.7,100,0.01829759366980977
20260331,20260401,20260408,100,0.35,0.9,100,0.018297593669809778
20260331,20260401,20260408,100,0.35,1.0,100,0.01829759366980977
20260331,20260401,20260408,100,0.45,0.7,100,0.01872924045791561
20260331,20260401,20260408,100,0.45,0.9,100,0.018729240457915602
20260331,20260401,20260408,100,0.45,1.0,100,0.01872924045791561
20260331,20260401,20260408,100,0.65,0.7,100,0.018143890904703794
20260331,20260401,20260408,100,0.65,0.9,100,0.018143890904703787
20260331,20260401,20260408,100,0.65,1.0,100,0.018143890904703808
20260331,20260401,20260408,100,0.85,0.7,100,0.017478080346130465
20260331,20260401,20260408,100,0.85,0.9,100,0.017478080346130465
20260331,20260401,20260408,100,0.85,1.0,100,0.017478080346130465
20260331,20260401,20260408,100,1.1,0.7,100,0.016847748075570185
20260331,20260401,20260408,100,1.1,0.9,100,0.016847748075570178
20260331,20260401,20260408,100,1.1,1.0,100,0.016847748075570178
20260421,20260422,20260428,30,0.35,0.7,30,0.026336700258290616
20260421,20260422,20260428,30,0.35,0.9,30,0.026336700258290654
20260421,20260422,20260428,30,0.35,1.0,30,0.026336700258290636
20260421,20260422,20260428,30,0.45,0.7,30,0.025538740879043596
20260421,20260422,20260428,30,0.45,0.9,30,0.02553874087904365
20260421,20260422,20260428,30,0.45,1.0,30,0.025538740879043644
20260421,20260422,20260428,30,0.65,0.7,30,0.023562856112820843
20260421,20260422,20260428,30,0.65,0.9,30,0.023562856112820885
20260421,20260422,20260428,30,0.65,1.0,30,0.023562856112820878
20260421,20260422,20260428,30,0.85,0.7,30,0.019791525177045324
20260421,20260422,20260428,30,0.85,0.9,30,0.019791525177045313
20260421,20260422,20260428,30,0.85,1.0,30,0.01979152517704532
20260421,20260422,20260428,30,1.1,0.7,30,0.015399451199412094
20260421,20260422,20260428,30,1.1,0.9,30,0.01539945119941211
20260421,20260422,20260428,30,1.1,1.0,30,0.015399451199412086
20260421,20260422,20260428,35,0.35,0.7,35,0.02633845961985717
20260421,20260422,20260428,35,0.35,0.9,35,0.02633845961985715
20260421,20260422,20260428,35,0.35,1.0,35,0.0263384596198572
20260421,20260422,20260428,35,0.45,0.7,35,0.024498937257691186
20260421,20260422,20260428,35,0.45,0.9,35,0.02449893725769118
20260421,20260422,20260428,35,0.45,1.0,35,0.024498937257691204
20260421,20260422,20260428,35,0.65,0.7,35,0.021296547293550284
20260421,20260422,20260428,35,0.65,0.9,35,0.021296547293550294
20260421,20260422,20260428,35,0.65,1.0,35,0.021296547293550273
20260421,20260422,20260428,35,0.85,0.7,35,0.017813026716670448
20260421,20260422,20260428,35,0.85,0.9,35,0.017813026716670455
