factor,direction,gamma,power,max_weight,mean,min,max,neg,delta_mean,delta_min
overnight_ret,high,3.0,3.0,0.1,0.056128153042763494,0.03113572250342059,0.08278562087406935,0,-0.0015610136239031652,-0.0008242774965794113
overnight_ret,low,0.5,1.0,0.1,0.05611756188388045,0.031748235806760755,0.09667780437237214,0,-0.0015716047827862081,-0.00021176419323924722
ret_60d,low,1.0,3.0,0.1,0.05610621833790578,0.03111390425325032,0.084725186532181,0,-0.0015829483287608803,-0.000846095746749681
overnight_ret,high,2.0,2.0,0.1,0.05609003745925908,0.03175792593488387,0.0796534404423453,0,-0.001599129207407582,-0.00020207406511613124
ret_1d,low,2.0,1.0,0.1,0.05607556675488821,0.03096741405910968,0.09986494453171224,0,-0.0016135999117784516,-0.0009925859408903212
close_over_ma60,low,0.5,3.0,0.1,0.05606259497121963,0.031422946766186635,0.08926739393426969,0,-0.0016265716954470266,-0.0005370532338133671
amount_z_20d,high,1.0,2.0,0.1,0.05605621473643795,0.033289551622434084,0.08377486354420158,0,-0.001632951930228707,0.0013295516224340817
ret_10d,high,2.0,1.0,0.1,0.0560520643779841,0.032291853216200886,0.08347508946690557,0,-0.0016371022886825584,0.0003318532162008836
amount_z_20d,low,1.0,3.0,0.1,0.05602037969976189,0.03014478738648803,0.09305825846001539,0,-0.00166878696690477,-0.001815212613511974
close_over_ma20,high,3.0,1.0,0.1,0.05598119528383685,0.029049401806570996,0.08293698592815563,0,-0.001707971382829812,-0.002910598193429006
drawdown_20d,high,1.0,1.0,0.1,0.05597884353619261,0.03258015279527912,0.07828631783747092,0,-0.001710323130474048,0.0006201527952791192
turnover_ma_20d,low,2.0,2.0,0.1,0.05597342854837286,0.032139127308927276,0.0912314986082998,0,-0.0017157381182937997,0.0001791273089272738
ret_5d,high,1.0,3.0,0.1,0.055910812030606376,0.03229709489410673,0.07909031074417945,0,-0.0017783546360602837,0.0003370948941067292
intraday_ret,high,0.5,3.0,0.1,0.05590248161035402,0.03217536696948523,0.0844750442396078,0,-0.0017866850563126382,0.00021536696948522976
ret_60d,high,5.0,3.0,0.1,0.055893212278530634,0.022167187419513654,0.10422410735210927,0,-0.0017959543881360257,-0.009792812580486348
ret_5d,low,1.0,2.0,0.1,0.055891140540860605,0.0307775056176047,0.10211880268920775,0,-0.0017980261258060543,-0.0011824943823953021
close_over_ma60,low,0.5,2.0,0.1,0.05588266733563709,0.031417100926249907,0.08883611276077455,0,-0.001806499331029568,-0.0005428990737500958
intraday_ret,low,2.0,3.0,0.1,0.05585679169284408,0.03012737294826582,0.08884616509842527,0,-0.0018323749738225828,-0.0018326270517341828
ret_1d,high,0.5,3.0,0.1,0.055856301445509175,0.03237252062302056,0.08114539193259522,0,-0.0018328652211574842,0.0004125206230205583
drawdown_20d,high,1.0,2.0,0.1,0.05582982149955474,0.03264382874967839,0.0787128239397713,0,-0.0018593451671119199,0.0006838287496783862
vol_20d_rank,low,1.0,1.0,0.1,0.05582192489354427,0.03221181874085269,0.08396592277237258,0,-0.0018672417731223911,0.00025181874085268563
ret_60d,low,1.0,2.0,0.1,0.055812073225135365,0.031239738521025885,0.08272038368730708,0,-0.001877093441531294,-0.0007202614789741171
amount_z_20d,high,2.0,1.0,0.1,0.05581148740405262,0.03262897581514376,0.08653398681052277,0,-0.0018776792626140418,0.0006689758151437603
intraday_ret,high,0.5,1.0,0.1,0.05580049949585487,0.032135463443946174,0.08702725882524684,0,-0.001888667170811792,0.0001754634439461722
intraday_ret,high,0.5,2.0,0.1,0.055778492900958876,0.032157554416451704,0.08510819997878472,0,-0.0019106737657077835,0.00019755441645170208
ret_5d,low,1.0,1.0,0.1,0.055761638398504586,0.030853351081537955,0.10072999233538954,0,-0.0019275282681620737,-0.0011066489184620477
vol_20d_rank,low,3.0,2.0,0.1,0.05575870388772031,0.03261399785273169,0.08357515114929523,0,-0.0019304627789463527,0.0006539978527316873
drawdown_20d,low,2.0,1.0,0.1,0.055754755666834244,0.030214425242115837,0.09897443516060586,0,-0.0019344109998324158,-0.0017455747578841649
drawdown_20d,high,1.0,3.0,0.1,0.05574427564926915,0.03257344156322265,0.08178607711811861,0,-0.0019448910173975112,0.0006134415632226484
