feature,direction,top_k,power,mean,min,max,neg,vals
ret_5d_rank,low,60,2.0,0.00856991562096467,-0.031197559674241176,0.03176958353772568,4,"0.01833,0.03177,0.01178,0.01505,-0.01362,-0.01695,0.02102,-0.03120,0.02618,-0.01188,0.02635,0.02600"
drawdown_20d,low,30,0.7,0.008517480495566115,-0.01806902727389964,0.04509319410118173,5,"0.01868,-0.01439,0.04509,0.01956,-0.00207,-0.01807,0.02712,0.00144,0.01611,0.01248,-0.00008,-0.00365"
drawdown_20d_rank,low,30,0.7,0.008517480495566115,-0.01806902727389964,0.04509319410118173,5,"0.01868,-0.01439,0.04509,0.01956,-0.00207,-0.01807,0.02712,0.00144,0.01611,0.01248,-0.00008,-0.00365"
close_over_ma20,low,60,0.7,0.00850195968557594,-0.015233557096122077,0.02491800246530707,4,"0.02492,0.01470,0.01459,0.01586,0.01689,-0.01523,0.02389,-0.00229,0.01411,0.00102,-0.00379,-0.00265"
close_over_ma20,low,80,1.5,0.008467837167952798,-0.015200171262902795,0.02597953454529244,4,"0.02598,0.01338,0.01520,0.01533,0.01631,-0.01520,0.02374,-0.00229,0.01397,0.00107,-0.00345,-0.00242"
ret_60d,low,30,2.0,0.008214102764129845,-0.03698352527321965,0.06927247154648969,5,"0.02576,-0.01067,-0.03698,0.02312,0.03034,0.01233,-0.00502,0.00867,0.01861,-0.00637,-0.03050,0.06927"
ret_60d_rank,low,30,2.0,0.008214102764129845,-0.03698352527321965,0.06927247154648969,5,"0.02576,-0.01067,-0.03698,0.02312,0.03034,0.01233,-0.00502,0.00867,0.01861,-0.00637,-0.03050,0.06927"
excess_ret_5d,low,50,1.0,0.008175540918777343,-0.028717764658785554,0.03184021467956659,4,"0.01795,0.03184,0.00894,0.01402,-0.01236,-0.01666,0.02092,-0.02872,0.02536,-0.01177,0.02323,0.02536"
excess_ret_5d_rank,low,50,1.0,0.008175540918777343,-0.028717764658785554,0.03184021467956659,4,"0.01795,0.03184,0.00894,0.01402,-0.01236,-0.01666,0.02092,-0.02872,0.02536,-0.01177,0.02323,0.02536"
ret_5d,low,50,1.0,0.008175540918777343,-0.028717764658785554,0.03184021467956659,4,"0.01795,0.03184,0.00894,0.01402,-0.01236,-0.01666,0.02092,-0.02872,0.02536,-0.01177,0.02323,0.02536"
ret_5d_rank,low,50,1.0,0.008175540918777343,-0.028717764658785554,0.03184021467956659,4,"0.01795,0.03184,0.00894,0.01402,-0.01236,-0.01666,0.02092,-0.02872,0.02536,-0.01177,0.02323,0.02536"
close_over_ma20,low,80,1.0,0.00803625387212952,-0.013763401425392702,0.02635107122748899,5,"0.02635,0.01197,0.01076,0.01606,0.01626,-0.01376,0.02139,-0.00136,0.01436,-0.00011,-0.00280,-0.00268"
drawdown_20d,low,40,1.0,0.00795691850695514,-0.016384812804985743,0.03927935107642069,5,"0.01805,-0.01273,0.03928,0.01837,-0.00211,-0.01638,0.02601,0.00218,0.01590,0.01097,-0.00163,-0.00241"
drawdown_20d_rank,low,40,1.0,0.00795691850695514,-0.016384812804985743,0.03927935107642069,5,"0.01805,-0.01273,0.03928,0.01837,-0.00211,-0.01638,0.02601,0.00218,0.01590,0.01097,-0.00163,-0.00241"
excess_ret_5d,low,60,1.5,0.007945722509297322,-0.029229242627688924,0.03120377627008302,4,"0.01805,0.03120,0.00878,0.01425,-0.01274,-0.01674,0.02047,-0.02923,0.02461,-0.01184,0.02331,0.02523"
excess_ret_5d_rank,low,60,1.5,0.007945722509297322,-0.029229242627688924,0.03120377627008302,4,"0.01805,0.03120,0.00878,0.01425,-0.01274,-0.01674,0.02047,-0.02923,0.02461,-0.01184,0.02331,0.02523"
ret_5d,low,60,1.5,0.007945722509297322,-0.029229242627688924,0.03120377627008302,4,"0.01805,0.03120,0.00878,0.01425,-0.01274,-0.01674,0.02047,-0.02923,0.02461,-0.01184,0.02331,0.02523"
ret_5d_rank,low,60,1.5,0.007945722509297322,-0.029229242627688924,0.03120377627008302,4,"0.01805,0.03120,0.00878,0.01425,-0.01274,-0.01674,0.02047,-0.02923,0.02461,-0.01184,0.02331,0.02523"
ret_60d,low,30,1.5,0.00787930848251348,-0.0378321790344108,0.06430592552237076,5,"0.02597,-0.01200,-0.03783,0.02265,0.02993,0.01132,-0.00557,0.00806,0.01599,-0.00504,-0.02323,0.06431"
