n,topk,power,mix_agg,mean,min,max,neg,keys,vals
3,40,1.6,0.75,0.0642923181289863,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03292,0.06170,0.13545,0.03380,0.04416,0.07221,0.06044,0.05825,0.06914,0.05917,0.06468,0.07958"
3,50,2.0,0.5,0.0642680345170663,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03295,0.06209,0.13711,0.03326,0.04321,0.07091,0.05290,0.06171,0.07295,0.05724,0.06686,0.08002"
3,80,2.0,0.75,0.06424941513230992,0.03333030670089022,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03333,0.04161,0.07426,0.05513,0.05933,0.07095,0.05633,0.06551,0.08066"
3,100,2.0,0.75,0.06424941513230992,0.03333030670089022,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03333,0.04161,0.07426,0.05513,0.05933,0.07095,0.05633,0.06551,0.08066"
2,60,2.0,0.25,0.06424002091709434,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04367,0.06756,0.04163,0.06408,0.07495,0.06651,0.06822,0.07938"
2,60,1.6,0.75,0.06419233145190098,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04504,0.07221,0.05632,0.05825,0.06914,0.06093,0.06468,0.07958"
3,30,1.6,0.5,0.06414302931116277,0.03153090545428583,0.13378899295291932,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03153,0.05921,0.13379,0.03452,0.03953,0.06681,0.06237,0.05954,0.06933,0.07000,0.06522,0.07786"
2,30,1.3,0.75,0.06412804756316354,0.032278323313614896,0.1341166798038597,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03228,0.06054,0.13412,0.03400,0.04718,0.07064,0.06363,0.05725,0.06763,0.05967,0.06396,0.07864"
2,80,1.6,0.75,0.06401940706144628,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04504,0.07221,0.05424,0.05825,0.06914,0.06093,0.06468,0.07958"
2,100,1.6,0.75,0.06401940706144628,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04504,0.07221,0.05424,0.05825,0.06914,0.06093,0.06468,0.07958"
4,30,1.6,0.5,0.06389124114507859,0.03153090545428583,0.13423290072728286,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03153,0.05921,0.13423,0.03457,0.03903,0.06681,0.06237,0.05954,0.06933,0.06699,0.06522,0.07786"
3,35,1.3,0.75,0.06388531595557936,0.032278323313614896,0.1341166798038597,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03228,0.06054,0.13412,0.03362,0.04545,0.07064,0.06110,0.05725,0.06763,0.06139,0.06396,0.07864"
5,30,1.6,0.75,0.0638715412403757,0.03291818740776864,0.12904929455032743,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03292,0.06172,0.12905,0.03451,0.03779,0.07221,0.06486,0.05825,0.06914,0.06175,0.06468,0.07958"
2,30,1.6,0.5,0.06386591366867181,0.03153090545428583,0.13378899295291932,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03153,0.05921,0.13379,0.03412,0.04501,0.06681,0.06237,0.05954,0.06933,0.06160,0.06522,0.07786"
3,30,1.3,0.75,0.06384621185847152,0.032278323313614896,0.1341166798038597,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03228,0.06054,0.13412,0.03438,0.03721,0.07064,0.06363,0.05725,0.06763,0.06587,0.06396,0.07864"
3,60,2.0,0.5,0.0638243897759405,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03295,0.06209,0.13711,0.03322,0.04231,0.07091,0.04952,0.06171,0.07295,0.05624,0.06686,0.08002"
2,35,1.3,0.75,0.06378688807823117,0.032278323313614896,0.1341166798038597,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03228,0.06054,0.13412,0.03400,0.04562,0.07064,0.06110,0.05725,0.06763,0.05967,0.06396,0.07864"
3,50,2.0,0.25,0.06377865162503298,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03227,0.06104,0.13711,0.03316,0.04338,0.06756,0.04660,0.06408,0.07495,0.05759,0.06822,0.07938"
3,35,1.6,0.5,0.0637315497822903,0.03153090545428583,0.13378899295291932,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03153,0.05921,0.13379,0.03377,0.04465,0.06681,0.05823,0.05954,0.06933,0.06484,0.06522,0.07786"
5,35,2.0,0.25,0.06369067782892694,0.03226713312540244,0.1305900174306712,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03227,0.05443,0.13059,0.03448,0.03685,0.06756,0.05844,0.06408,0.07495,0.06303,0.06822,0.07938"
2,80,2.0,0.25,0.06368998668459365,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04367,0.06756,0.03503,0.06408,0.07495,0.06651,0.06822,0.07938"
