mode,alpha_lstm,risk_penalty,top_k,rank_power,confidence_power,mean_excess,min_excess,std_excess,sum_excess,mean_port,count,utility
legacy,0.95,0.05,35,1.35,3.0,0.0287679552249489,0.016216232382011513,0.011156280338600132,0.0863038656748467,0.03154617994482729,3,0.03439181774606406
legacy,0.95,0.3,35,1.6,2.0,0.02583106105761494,0.020486564274038402,0.004963950109000137,0.07749318317284482,0.028609285777493332,3,0.0343054224645822
legacy,0.95,0.2,35,2.0,3.0,0.028227642951263232,0.016983215388934738,0.010457190941421383,0.0846829288537897,0.031005867671141624,3,0.03430151123507066
legacy,0.95,0.45,35,1.35,1.5,0.023836328449405322,0.023289818440350475,0.0004819830910683207,0.07150898534821597,0.026614553169283715,3,0.034244449283902786
legacy,0.9,0.1,40,1.35,2.5,0.02685249621046253,0.01873919669083156,0.007028238442064296,0.08055748863138759,0.029630720930340925,3,0.034230898955027095
legacy,0.95,0.0,40,1.6,3.0,0.028444274456910917,0.0163654526618311,0.010606943681317847,0.08533282337073275,0.03122249917678931,3,0.03421768660253723
legacy,0.95,0.05,40,2.0,3.0,0.02838025298969946,0.016405790300165757,0.010849449610503163,0.08514075896909838,0.031158477709577855,3,0.03413544118319857
legacy,0.85,0.3,35,1.6,3.0,0.02769147588004328,0.017278855378681658,0.009022652923457533,0.08307442764012984,0.030469700599921674,3,0.0341135628619314
legacy,0.95,0.45,40,1.35,1.5,0.02415503509809429,0.02253443703674375,0.0015959949612779705,0.07246510529428288,0.026933259817972687,3,0.034056132520437286
legacy,0.85,0.45,40,1.6,2.0,0.024576216788806376,0.02179790988158814,0.0030541522291736246,0.07372865036641912,0.027354441508684768,3,0.033927153401144994
legacy,0.9,0.3,35,1.35,2.0,0.0256978092699805,0.019938167282606847,0.005044259155706736,0.0770934278099415,0.02847603398985889,3,0.03391334567379757
legacy,0.9,0.2,35,2.0,3.0,0.027937887045391612,0.016616933558704125,0.010190709658464877,0.08381366113617483,0.030716111765270004,3,0.033886900698038736
legacy,0.9,0.45,35,2.0,2.0,0.02456518952696855,0.021456012338156638,0.003105248905434051,0.07369556858090565,0.027343414246846942,3,0.03375460774332393
legacy,0.9,0.3,40,2.0,2.0,0.025414855558135607,0.020041793021004645,0.00475215786647864,0.07624456667440682,0.028193080278014,3,0.0337208387376159
legacy,0.95,0.05,40,1.6,2.5,0.0272892885996458,0.017242276190882616,0.008879169200055591,0.0818678657989374,0.030067513319524192,3,0.03371643750553464
legacy,0.95,0.1,35,1.35,2.5,0.02722550805540439,0.01721134113170225,0.008897187383852659,0.08167652416621317,0.030003732775282784,3,0.0336360334570925
legacy,0.9,0.2,40,1.35,2.0,0.025495685834611218,0.019687030310259698,0.005081918344624921,0.07648705750383365,0.02827391055448961,3,0.033592561722534345
legacy,0.85,0.45,35,1.6,2.5,0.025460305176154666,0.01961785975267343,0.005085223318165128,0.076380915528464,0.028238529896033062,3,0.03352555856713294
legacy,0.9,0.0,40,1.35,3.0,0.027565565209695452,0.016419926023459874,0.009658198317633294,0.08269669562908635,0.03034378992957384,3,0.0335058021726074
legacy,0.95,0.1,40,2.0,2.5,0.02684221949477165,0.017447155681896545,0.008565993407150594,0.08052665848431495,0.029620444214650044,3,0.03340854054055251
legacy,0.9,0.2,35,1.6,2.5,0.026764994401054,0.017480071092832027,0.008167229624567453,0.080294983203162,0.029543219120932395,3,0.03340594194914329
legacy,0.95,0.45,40,2.0,1.5,0.023429056684221416,0.022322605186350777,0.0010096840456088405,0.07028717005266424,0.026207281404099808,3,0.033322776411237945
legacy,0.95,0.3,40,1.35,1.5,0.023998807185346804,0.021451587174106397,0.0022886979517586187,0.07199642155604041,0.026777031905225197,3,0.03330871672093089
legacy,0.85,0.45,35,2.0,3.0,0.02552969301570554,0.01914534791434726,0.005631902144264281,0.07658907904711662,0.028307917735583932,3,0.03330031425552217
legacy,0.95,0.45,35,1.6,1.5,0.023304555263051724,0.02253992455552111,0.0011035259431028508,0.06991366578915517,0.026082779982930116,3,0.033281992421570795
legacy,0.9,0.45,40,1.6,1.5,0.02325499175355149,0.022601769674378,0.0009635242924805788,0.06976497526065448,0.026033216473429887,3,0.033281259463149505
legacy,0.85,0.2,40,1.35,2.5,0.026214410972950297,0.017955564714918156,0.007321748791789099,0.07864323291885089,0.02899263569282869,3,0.033196152775895105
legacy,0.85,0.1,40,1.35,3.0,0.027261907622892708,0.01630693499508529,0.009564807272972988,0.08178572286867812,0.0300401323427711,3,0.03316530727973514
legacy,0.85,0.3,35,1.35,2.5,0.026606153995342625,0.017166137947919227,0.008195234400188756,0.07981846198602788,0.02938437871522102,3,0.03310163091187796
legacy,0.9,0.1,40,1.6,2.5,0.026526718864514087,0.017215747281452372,0.008092674178329816,0.07958015659354226,0.02930494358439248,3,0.033059904014418176
legacy,0.95,0.2,35,1.35,2.0,0.025742677396429364,0.018402029131917366,0.006442428181600884,0.07722803218928809,0.028520902116307756,3,0.033057226278552045
legacy,0.9,0.45,40,1.35,1.5,0.02347570585381678,0.021681597896662314,0.0016019279600435724,0.07042711756145034,0.026253930573695173,3,0.032992135713308286
legacy,0.9,0.1,35,1.6,3.0,0.027544673115894213,0.015564479486494052,0.010560594473033421,0.08263401934768264,0.030322897835772605,3,0.03296459971386152
