factor,direction,mean_excess,min_excess,max_excess,neg_windows,vals
excess_ret_5d,high,0.002318468358121289,-0.042019662061323765,0.034806635227665084,3,"-0.01382,0.01436,0.03103,-0.04202,0.03481,-0.01045"
excess_ret_5d_rank,high,0.002318468358121289,-0.042019662061323765,0.034806635227665084,3,"-0.01382,0.01436,0.03103,-0.04202,0.03481,-0.01045"
amplitude_z_20d,high,0.0022846274090723446,-0.016316738589695956,0.025659392407111806,2,"0.02566,-0.01632,0.00144,0.00461,-0.00957,0.00789"
amplitude_z_20d_rank,high,0.0022846274090723446,-0.016316738589695956,0.025659392407111806,2,"0.02566,-0.01632,0.00144,0.00461,-0.00957,0.00789"
ret_skew_20d,high,0.0020844589772099956,-0.013844895267557132,0.01883598841523268,2,"0.01884,0.00681,0.00270,-0.01384,-0.00555,0.00355"
ret_skew_20d_rank,high,0.0020844589772099956,-0.013844895267557132,0.01883598841523268,2,"0.01884,0.00681,0.00270,-0.01384,-0.00555,0.00355"
ret_max_20d,high,0.001956262103692565,-0.03882124653003313,0.04310849397479202,4,"-0.00237,0.04311,-0.01192,-0.03882,0.03050,-0.00875"
ret_max_20d_rank,high,0.001956262103692565,-0.03882124653003313,0.04310849397479202,4,"-0.00237,0.04311,-0.01192,-0.03882,0.03050,-0.00875"
price_volume_corr_20d,low,0.0018792700738283954,-0.0251348732324635,0.014899184238770187,2,"0.00877,0.00813,-0.00366,0.01490,-0.02513,0.00827"
price_volume_corr_20d_rank,low,0.0018792700738283954,-0.0251348732324635,0.014899184238770187,2,"0.00877,0.00813,-0.00366,0.01490,-0.02513,0.00827"
rsi_14,high,0.0015876376866549868,-0.02716612205120593,0.03599917488211035,3,"0.01681,0.00785,0.03600,-0.02717,-0.01721,-0.00676"
volume_price_confirm_20d,low,0.001506447918292194,-0.018155476149385678,0.0198623828607169,3,"0.01986,0.00372,0.01452,-0.00189,-0.00902,-0.01816"
close_location_ma5,low,0.0012771093504504154,-0.02179637063668003,0.021345889925755923,3,"0.02135,-0.00988,-0.00128,0.01105,-0.02180,0.00822"
close_location_ma5_rank,low,0.0012771093504504154,-0.02179637063668003,0.021345889925755923,3,"0.02135,-0.00988,-0.00128,0.01105,-0.02180,0.00822"
ret_kurt_20d,high,0.000986423109714893,-0.022369453392685763,0.024553349914650024,3,"0.02455,0.00524,-0.00305,0.00641,-0.02237,-0.00487"
ret_kurt_20d_rank,high,0.000986423109714893,-0.022369453392685763,0.024553349914650024,3,"0.02455,0.00524,-0.00305,0.00641,-0.02237,-0.00487"
amplitude_z_20d,low,0.0009728845231606961,-0.02454388578275397,0.03311124979932596,3,"0.01050,0.03311,0.01212,-0.00952,-0.02454,-0.01584"
amplitude_z_20d_rank,low,0.0009728845231606961,-0.02454388578275397,0.03311124979932596,3,"0.01050,0.03311,0.01212,-0.00952,-0.02454,-0.01584"
ret_skew_20d,low,0.0007532229918884906,-0.02955751872626604,0.023826615050500245,3,"0.01386,0.00657,-0.00842,0.02383,-0.02956,-0.00177"
ret_skew_20d_rank,low,0.0007532229918884906,-0.02955751872626604,0.023826615050500245,3,"0.01386,0.00657,-0.00842,0.02383,-0.02956,-0.00177"
intraday_vol_20d,high,0.0006423275008565563,-0.032146731177959104,0.04064193846066283,3,"-0.00978,-0.03215,0.01680,-0.02773,0.04064,0.01608"
intraday_vol_20d_rank,high,0.0006423275008565563,-0.032146731177959104,0.04064193846066283,3,"-0.00978,-0.03215,0.01680,-0.02773,0.04064,0.01608"
close_over_ma20,high,0.0006185897940498836,-0.052284392144770445,0.03790189500604373,2,"-0.02252,0.00982,0.03790,-0.05228,0.01728,0.01352"
beta_60d,high,0.0005779383086769835,-0.027112307868917045,0.06334315832830267,3,"-0.02711,-0.01790,-0.01655,0.00017,0.06334,0.00152"
beta_60d_rank,high,0.0005779383086769835,-0.027112307868917045,0.06334315832830267,3,"-0.02711,-0.01790,-0.01655,0.00017,0.06334,0.00152"
ret_60d,low,0.00038258663139881477,-0.046315782871335615,0.028832490817313722,2,"0.01069,0.02883,0.00356,0.00666,-0.00113,-0.04632"
ret_60d_rank,low,0.00038258663139881477,-0.046315782871335615,0.028832490817313722,2,"0.01069,0.02883,0.00356,0.00666,-0.00113,-0.04632"
beta_60d,low,0.00015099874089898337,-0.057059233582162014,0.036425390766105195,3,"0.02324,0.03643,-0.00610,-0.00293,-0.05706,0.00734"
beta_60d_rank,low,0.00015099874089898337,-0.057059233582162014,0.036425390766105195,3,"0.02324,0.03643,-0.00610,-0.00293,-0.05706,0.00734"
close_pos_20d,low,-3.4040193903321364e-05,-0.02507490841604671,0.016799848736598844,3,"0.00145,0.01680,-0.00775,0.01641,-0.02507,-0.00204"
close_pos_20d_rank,low,-3.4040193903321364e-05,-0.02507490841604671,0.016799848736598844,3,"0.00145,0.01680,-0.00775,0.01641,-0.02507,-0.00204"
ret_kurt_20d,low,-4.436170686571728e-05,-0.02726400877368578,0.036822130259491825,3,"0.03682,-0.01825,-0.00225,0.00540,-0.02726,0.00528"
ret_kurt_20d_rank,low,-4.436170686571728e-05,-0.02726400877368578,0.036822130259491825,3,"0.03682,-0.01825,-0.00225,0.00540,-0.02726,0.00528"
trend_efficiency_20d,high,-0.0001068892882572639,-0.01592354476948402,0.014765722190563699,3,"0.00775,-0.00826,-0.00264,0.00367,-0.01592,0.01477"
trend_efficiency_20d_rank,high,-0.0001068892882572639,-0.01592354476948402,0.014765722190563699,3,"0.00775,-0.00826,-0.00264,0.00367,-0.01592,0.01477"
turnover_ma_20d,high,-0.0007144415015945543,-0.025213440825170193,0.01936856044394255,2,"-0.02521,0.01437,0.00033,-0.01726,0.01937,0.00413"
trend_quality_60d,low,-0.0007200899648059934,-0.04163823115937202,0.02157986130323635,2,"0.02087,0.02158,0.00366,0.00361,-0.01241,-0.04164"
trend_quality_60d_rank,low,-0.0007200899648059934,-0.04163823115937202,0.02157986130323635,2,"0.02087,0.02158,0.00366,0.00361,-0.01241,-0.04164"
overnight_vol_20d,high,-0.0011692753193235997,-0.03484581643059703,0.04458856309721984,3,"-0.03485,0.00113,0.01947,-0.01350,0.04459,-0.02387"
overnight_vol_20d_rank,high,-0.0011692753193235997,-0.03484581643059703,0.04458856309721984,3,"-0.03485,0.00113,0.01947,-0.01350,0.04459,-0.02387"
vol_ratio_20_60,high,-0.001676375869772699,-0.055135937249731745,0.035402373033771355,2,"0.00740,0.02076,0.03540,-0.05514,-0.02026,0.00177"
vol_ratio_20_60_rank,high,-0.001676375869772699,-0.055135937249731745,0.035402373033771355,2,"0.00740,0.02076,0.03540,-0.05514,-0.02026,0.00177"
trend_efficiency_20d,low,-0.0020476626088849676,-0.01839538493720267,0.011905214430062355,4,"0.01191,-0.00894,0.00973,-0.00332,-0.01840,-0.00326"
trend_efficiency_20d_rank,low,-0.0020476626088849676,-0.01839538493720267,0.011905214430062355,4,"0.01191,-0.00894,0.00973,-0.00332,-0.01840,-0.00326"
close_over_ma60,high,-0.00236759303927203,-0.0566476489088244,0.02733745540894101,3,"-0.03025,-0.00618,0.02724,-0.05665,0.02429,0.02734"
mom_accel_5_20,low,-0.002635445533303427,-0.04487319395663099,0.04921497674006324,4,"-0.00798,-0.03208,0.03221,-0.04487,-0.01231,0.04921"
mom_accel_5_20_rank,low,-0.002635445533303427,-0.04487319395663099,0.04921497674006324,4,"-0.00798,-0.03208,0.03221,-0.04487,-0.01231,0.04921"
ret_20d,high,-0.002854480746474111,-0.06228986026798254,0.03558330955285726,3,"-0.01950,-0.00873,0.03558,-0.06229,0.01039,0.02742"
ret_20d_rank,high,-0.002854480746474111,-0.06228986026798254,0.03558330955285726,3,"-0.01950,-0.00873,0.03558,-0.06229,0.01039,0.02742"
excess_ret_20d,high,-0.002854480746474111,-0.06228986026798254,0.03558330955285726,3,"-0.01950,-0.00873,0.03558,-0.06229,0.01039,0.02742"
excess_ret_20d_rank,high,-0.002854480746474111,-0.06228986026798254,0.03558330955285726,3,"-0.01950,-0.00873,0.03558,-0.06229,0.01039,0.02742"
market_corr_60d,low,-0.002867003594738283,-0.0556958388552322,0.029124453736370508,3,"0.01704,0.02912,-0.00215,-0.01372,-0.05570,0.00820"
market_corr_60d_rank,low,-0.002867003594738283,-0.0556958388552322,0.029124453736370508,3,"0.01704,0.02912,-0.00215,-0.01372,-0.05570,0.00820"
close_location_ma20,high,-0.0028709708834059335,-0.017254657031716726,0.011834391599780449,3,"0.00810,0.00402,0.01183,-0.00743,-0.01725,-0.01650"
close_location_ma20_rank,high,-0.0028709708834059335,-0.017254657031716726,0.011834391599780449,3,"0.00810,0.00402,0.01183,-0.00743,-0.01725,-0.01650"
close_over_ma60,low,-0.002992783120686469,-0.04934579482867196,0.01248168580074713,1,"0.00054,0.00381,0.01248,0.00266,0.01190,-0.04935"
ma20_over_ma60,high,-0.003049408209149495,-0.04078234127358536,0.048049390100846176,4,"-0.02335,-0.04078,0.01683,-0.00657,-0.01247,0.04805"
ma20_over_ma60_rank,high,-0.003049408209149495,-0.04078234127358536,0.048049390100846176,4,"-0.02335,-0.04078,0.01683,-0.00657,-0.01247,0.04805"
ret_60d,high,-0.0031074337505732352,-0.04867630633433043,0.046601779595883464,3,"-0.04868,-0.01132,0.00709,-0.01960,0.00725,0.04660"
ret_60d_rank,high,-0.0031074337505732352,-0.04867630633433043,0.046601779595883464,3,"-0.04868,-0.01132,0.00709,-0.01960,0.00725,0.04660"
price_volume_corr_20d,high,-0.0034248947161924594,-0.04417395195262962,0.028225046003272587,2,"0.02823,0.01117,0.00382,-0.04417,0.00469,-0.02428"
price_volume_corr_20d_rank,high,-0.0034248947161924594,-0.04417395195262962,0.028225046003272587,2,"0.02823,0.01117,0.00382,-0.04417,0.00469,-0.02428"
close_location_ma5,high,-0.003481055314970224,-0.0410872179636779,0.03378127921759938,3,"0.00535,0.03378,0.00412,-0.04109,-0.00029,-0.02276"
close_location_ma5_rank,high,-0.003481055314970224,-0.0410872179636779,0.03378127921759938,3,"0.00535,0.03378,0.00412,-0.04109,-0.00029,-0.02276"
intraday_mean_5d,low,-0.003547485628889367,-0.03366516041794171,0.02708697990569003,4,"0.01243,-0.03367,0.02709,-0.00976,-0.00805,-0.00932"
intraday_mean_5d_rank,low,-0.003547485628889367,-0.03366516041794171,0.02708697990569003,4,"0.01243,-0.03367,0.02709,-0.00976,-0.00805,-0.00932"
ma20_over_ma60,low,-0.003641993084323608,-0.05709958888750486,0.017043441812728828,2,"0.00484,0.01704,0.01112,0.00619,-0.00394,-0.05710"
ma20_over_ma60_rank,low,-0.003641993084323608,-0.05709958888750486,0.017043441812728828,2,"0.00484,0.01704,0.01112,0.00619,-0.00394,-0.05710"
trend_quality_20d,low,-0.003767193073411447,-0.026974368731751002,0.017670415890553792,4,"-0.00476,0.01490,-0.00694,0.01767,-0.02697,-0.01650"
trend_quality_20d_rank,low,-0.003767193073411447,-0.026974368731751002,0.017670415890553792,4,"-0.00476,0.01490,-0.00694,0.01767,-0.02697,-0.01650"
ret_15d,high,-0.003934843539084896,-0.0602093241152936,0.03209834002751702,2,"-0.02806,0.00744,0.03210,-0.06021,0.01255,0.01257"
