top_k,power,mix_agg,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,avg_names,vals
40,8,0.1,0.07723630551802745,0.03701780460019449,0.16791925049929532,0,0.08142095103502632,33.333333333333336,"0.03800,0.06835,0.16792,0.03702,0.04546,0.07761,0.06932,0.07540,0.09062,0.08836,0.07229,0.09649"
30,8,0.1,0.07723515619259756,0.03761646075160969,0.16791925049929532,0,0.08141980170959644,30.833333333333332,"0.03800,0.06835,0.16792,0.03762,0.04546,0.07761,0.06975,0.07540,0.09062,0.08731,0.07229,0.09649"
50,8,0.1,0.07708289138766056,0.03675033213838126,0.16791925049929532,0,0.08126753690465945,35.833333333333336,"0.03800,0.06835,0.16792,0.03675,0.04546,0.07761,0.06884,0.07540,0.09062,0.08726,0.07229,0.09649"
60,8,0.1,0.07704521784620794,0.03672443815188942,0.16791925049929532,0,0.08122986336320683,36.916666666666664,"0.03800,0.06835,0.16792,0.03672,0.04546,0.07761,0.06875,0.07540,0.09062,0.08693,0.07229,0.09649"
50,6,0.05,0.07689548650776913,0.03637372025491984,0.16550278319463796,0,0.081080132024768,35.833333333333336,"0.03797,0.06853,0.16550,0.03637,0.04546,0.07761,0.06885,0.07749,0.09127,0.08546,0.07295,0.09530"
60,16,0.05,0.0768318805169854,0.03744590473579562,0.17088146423748687,0,0.08101652603398429,36.916666666666664,"0.03745,0.06849,0.17088,0.03779,0.04546,0.07761,0.07028,0.07095,0.08890,0.08758,0.06999,0.09661"
30,6,0.1,0.07681534266167211,0.03724212901427775,0.16412235943264153,0,0.080999988178671,30.833333333333332,"0.03772,0.06848,0.16412,0.03724,0.04546,0.07761,0.07011,0.07577,0.09036,0.08921,0.07146,0.09424"
50,16,0.05,0.0767874324862003,0.03744590473579562,0.17088146423748687,0,0.08097207800319918,35.833333333333336,"0.03745,0.06849,0.17088,0.03781,0.04546,0.07761,0.06991,0.07095,0.08890,0.08740,0.06999,0.09661"
50,12,0.1,0.07670468124009804,0.03706609103528964,0.16950942948922806,0,0.08088932675709691,35.833333333333336,"0.03759,0.06844,0.16951,0.03707,0.04546,0.07761,0.06941,0.07214,0.08906,0.08759,0.07015,0.09645"
80,16,0.05,0.07670163390551217,0.03744590473579562,0.17088146423748687,0,0.08088627942251107,38.583333333333336,"0.03745,0.06849,0.17088,0.03779,0.04546,0.07761,0.06871,0.07095,0.08890,0.08758,0.06999,0.09661"
35,6,0.1,0.07667339693174413,0.036916145340348025,0.16412235943264153,0,0.080858042448743,32.083333333333336,"0.03772,0.06848,0.16412,0.03692,0.04546,0.07761,0.06920,0.07577,0.09036,0.08874,0.07146,0.09424"
60,12,0.1,0.0766435865431313,0.03703140013404809,0.16950942948922806,0,0.08082823206013019,36.916666666666664,"0.03759,0.06844,0.16951,0.03703,0.04546,0.07761,0.06851,0.07214,0.08906,0.08779,0.07015,0.09645"
80,12,0.1,0.07664078201744963,0.03703140013404809,0.16950942948922806,0,0.08082542753444853,38.583333333333336,"0.03759,0.06844,0.16951,0.03703,0.04546,0.07761,0.06848,0.07214,0.08906,0.08779,0.07015,0.09645"
80,8,0.1,0.07663761689958186,0.03672443815188942,0.16791925049929532,0,0.08082226241658075,38.583333333333336,"0.03800,0.06835,0.16792,0.03672,0.04546,0.07761,0.06386,0.07540,0.09062,0.08693,0.07229,0.09649"
40,12,0.1,0.07657846518118556,0.03746910122147235,0.16950942948922806,0,0.08076311069818444,33.333333333333336,"0.03759,0.06844,0.16951,0.03747,0.04546,0.07761,0.06925,0.07214,0.08906,0.08583,0.07015,0.09645"
40,6,0.1,0.076576830485161,0.03680685988586375,0.16412235943264153,0,0.08076147600215988,33.333333333333336,"0.03772,0.06848,0.16412,0.03681,0.04546,0.07761,0.06916,0.07577,0.09036,0.08773,0.07146,0.09424"
60,6,0.05,0.07654000264851916,0.03630899110080719,0.16550278319463796,0,0.08072464816551805,36.916666666666664,"0.03797,0.06853,0.16550,0.03631,0.04546,0.07761,0.06571,0.07749,0.09127,0.08440,0.07295,0.09530"
40,16,0.05,0.07652102074841778,0.03744590473579562,0.17088146423748687,0,0.08070566626541666,33.333333333333336,"0.03745,0.06849,0.17088,0.03804,0.04546,0.07761,0.06859,0.07095,0.08890,0.08529,0.06999,0.09661"
35,12,0.1,0.0764250852098765,0.037470352377233986,0.16950942948922806,0,0.08060973072687537,32.083333333333336,"0.03759,0.06844,0.16951,0.03747,0.04546,0.07761,0.06856,0.07214,0.08906,0.08468,0.07015,0.09645"
35,16,0.05,0.07628164013398532,0.03744590473579562,0.17088146423748687,0,0.08046628565098422,32.083333333333336,"0.03745,0.06849,0.17088,0.03789,0.04546,0.07761,0.06757,0.07095,0.08890,0.08360,0.06999,0.09661"
